Name,Year,Status,Birth Date,Birth Place,Gender,Alma Mater,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission,Country
Winston E. Scott,1992.0,Retired,8/6/1950,"Miami, FL",Male,Florida State University; US Naval Postgraduate School,Captain,US Navy (Retired),2,590,3.0,19.0,"STS-72 (Endeavor), STS-87 (Columbia)",,,USA
Paul D. Scully-Power,,Retired,5/28/1944,"Sydney, Australia",Male,University of Sydney,,,1,197,0.0,0.0,STS-41-G (Challenger),,,USA
Richard A. Searfoss,1990.0,Retired,6/5/1956,"Mount Clemens, MI",Male,US Air Force Academy; California Institute of Technology,Colonel,US Air Force (Retired),3,939,0.0,0.0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,,USA
Margaret Rhea Seddon,1978.0,Retired,11/8/1947,"Murfreesboro, TN",Female,University of California-Berkeley; University of Tennessee,,,3,722,0.0,0.0,"STS-51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,,USA
Elliot M. See,1962.0,Deceased,7/23/1927,"Dallas, TX",Male,US Merchant Marine Academy; University of California-Los Angeles,,,0,0,0.0,0.0,,2/28/1966,,USA
Ronald M. Sega,1990.0,Retired,12/4/1952,"Cleveland, OH",Male,US Air Force Academy; Ohio State University; University of Colorado,Colonel,US Air Force Reserves (Retired),2,420,0.0,0.0,"STS-60 (Discovery), STS-76 (Atlantis)",,,USA
Piers J. Sellers,1996.0,Management,4/11/1955,"Crowborough, England",Male,University of Edinburgh; Leeds University,,,3,839,6.0,41.0,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,,USA
Brewster H. Shaw,1978.0,Retired,5/16/1945,"Cass City, MI",Male,University of Wisconsin,Colonel,US Air Force (Retired),3,533,0.0,0.0,"STS-9 (Columbia), STS-61-B (Atlantis), STS-28 (Columbia)",,,USA
Alan B. Shepard,1959.0,Deceased,11/18/1923,"East Derry, NH",Male,US Naval Academy,Rear Admiral,US Navy (Retired),2,216,2.0,9.0,"Mercury 3, Apollo 14",7/21/1998,,USA
William M. Shepherd,1984.0,Retired,7/26/1949,"Oak Ridge, TN",Male,US Naval Academy; MIT,Captain,US Navy (Retired),4,3823,0.0,0.0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), Soyuz TM-31",,,USA
Loren J. Shriver,1978.0,Retired,9/23/1944,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Colonel,US Air Force (Retired),3,386,0.0,0.0,"STS-51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,,USA
Donald K. Slayton,1959.0,Deceased,3/1/1924,"Sparta, WI",Male,University of Minnesota,Major,US Air Force Reserves,1,217,0.0,0.0,Apollo-Soyuz,6/13/1993,,USA
Michael J. Smith,1980.0,Deceased,4/30/1945,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy,1,0,0.0,0.0,STS-51-L (Challenger),1/28/1986,STS-51-L (Challenger),USA
Steven L. Smith,1992.0,Management,12/30/1958,"Phoenix, AZ",Male,Stanford University,,,4,960,7.0,49.0,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,,USA
Sherwood C. Spring,1980.0,Retired,9/23/1944,"Hartford, CT",Male,US Military Academy; University of Arizona,Colonel,US Army (Retired),1,165,2.0,12.0,STS-61-B (Atlantis),,,USA
Robert C. Springer,1980.0,Retired,5/21/1942,"St. Louis, MO",Male,US Naval Academy; US Naval Postgraduate School,Colonel,US Marine Corps (Retired),2,237,0.0,0.0,"STS-29 (Discovery), STS-38 (Atlantis)",,,USA
Thomas P. Stafford,1962.0,Retired,9/17/1930,"Weatherford, OK",Male,US Naval Academy,Lieutenant General,US Air Force (Retired),4,507,0.0,0.0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz",,,USA
Heidemarie M. Stefanyshyn-Piper,1996.0,Retired,2/7/1963,"St. Paul, MN",Female,MIT,Captain,US Navy,2,663,2.0,33.0,"STS-115 (Atlantis), STS-126 (Endeavor)",,,USA
Robert L. Stewart,1978.0,Retired,8/13/1942,"Washington, DC",Male,University of Southern Mississippi; University of Texas-Arlington,Brigadier General,US Army (Retired),2,289,2.0,12.0,"STS-41-B (Challenger), STS-51-J (Atlantis)",,,USA
Nicole P. Stott,2000.0,Active,11/19/1962,"Albany, NY",Female,Embry-Riddle Aeronautical University; University of Central Florida,,,2,2477,1.0,6.0,"STS-128 (Discovery), STS-133 (Discovery)",,,USA
Frederick W. Sturckow,1995.0,Retired,8/11/1961,"La Mesa, CA",Male,California Polytechnic State University,Colonel,US Marine Corps (Retired),4,1233,0.0,0.0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,,USA
Kathryn D. Sullivan,1978.0,Retired,10/3/1951,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie University,,,3,532,1.0,3.0,"STS-41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,,USA
Steven R. Swanson,1998.0,Active,12/3/1960,"Syracuse, NY",Male,University of Colorado; Florida Atlantic University; Texas A&M University,,,3,4700,5.0,28.0,"STS-117 (Atlantis), STS-119 (Discovery), Soyuz TMA-12M",,,USA
John L. Swigert,1966.0,Deceased,8/30/1931,"Denver, CO",Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,,,1,142,0.0,0.0,Apollo 13,12/27/1982,,USA
Daniel M. Tani,1996.0,Retired,2/1/1961,"Ridley Park, PA",Male,MIT,,,2,3162,6.0,39.0,"STS-108 (Endeavor), STS-120 (Discovery)",,,USA
Joseph R. Tanner,1992.0,Retired,1/21/1950,"Danville, IL",Male,University of Illinois,,,4,1045,7.0,46.0,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,,USA
Norman E. Thagard,1978.0,Retired,7/3/1943,"Marianna, FL",Male,Florida State University; University of Texas,,,5,3373,0.0,0.0,"STS-7 (Challenger), STS-51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Atlantis)",,,USA
Andrew S. W. Thomas,1992.0,Management,12/18/1951,"Adelaide, Australia",Male,University of Adelaide,,,4,4257,1.0,6.0,"STS-77 (Endeavor), STS-89 (Endeavor), STS-102 (Discovery), STS-114 (Discovery)",,,USA
Donald A. Thomas,1990.0,Retired,5/6/1955,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,,,4,1040,0.0,0.0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,,USA
Stephen D. Thorne,1985.0,Deceased,2/11/1953,"Frankfurt, West Germany",Male,US Naval Academy,Lieutenant Commander,US Navy,0,0,0.0,0.0,,5/24/1986,,USA
Kathryn C. Thornton,1984.0,Retired,8/17/1952,"Montgomery, AL",Female,Auburn University; University of Virginia,,,4,975,3.0,21.0,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,,USA
William E. Thornton,1967.0,Retired,4/14/1929,"Faison, NC",Male,University of North Carolina,,,2,315,0.0,0.0,"STS-8 (Challenger), STS-51-B (Challenger)",,,USA
Pierre J. Thuot,1985.0,Retired,5/19/1955,"Groton, CT",Male,US Naval Academy; University of Southern California,Commander,US Navy,3,654,3.0,17.0,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,,USA
Scott D. Tingle,2009.0,Active,7/19/1965,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue University,Commander,US Navy,1,0,0.0,0.0,Soyuz MS-07,,,USA
Richard H. Truly,1969.0,Retired,11/12/1937,"Fayette, MS",Male,Georgia Institute of Technology,Vice Admiral,US Navy (Retired),2,199,0.0,0.0,"STS-2 (Columbia), STS-8 (Challenger)",,,USA
Lodewijk van den Berg,,Retired,3/24/1932,"Sluiskil, Netherlands",Male,Delft University of Technology; University of Delaware,,,1,168,0.0,0.0,STS-51-B (Challenger),,,USA
James D. van Hoften,1978.0,Retired,6/11/1944,"Fresno, CA",Male,University of California-Berkeley; Colorado State University,,,2,338,4.0,22.0,"STS-41-C (Challenger), STS-51-I (Discovery)",,,USA
Mark T. Vande Hei,2009.0,Active,11/10/1966,"Falls Church, VA",Male,Saint John’s University; Stanford University,Colonel,US Army,1,0,0.0,0.0,Soyuz MS-05,,,USA
Charles Lacy Veach,1984.0,Deceased,9/18/1944,"Chicago, IL",Male,US Air Force Academy,,,2,436,0.0,0.0,"STS-39 (Discovery), STS-52 (Columbia)",10/3/1995,,USA
Terry W. Virts,2000.0,Active,12/1/1967,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Colonel,US Air Force,2,5122,3.0,18.0,"STS-130 (Endeavor), Soyuz TMA-15M",,,USA
James S. Voss,1987.0,Retired,3/3/1949,"Cordova, AL",Male,Auburn University; University of Colorado,Colonel,US Army (Retired),5,4853,4.0,22.0,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102 (Discovery)",,,USA
Janice E. Voss,1990.0,Deceased,10/8/1956,"South Bend, IN",Female,Purdue University; MIT,,,5,1179,0.0,0.0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2/6/2012,,USA
Rex J. Walheim,1996.0,Active,10/10/1962,"Redwood, CA",Male,University of California-Berkeley; University of Houston,Colonel,US Air Force (Retired),3,872,5.0,36.0,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,,USA
Charles D. Walker,,Retired,8/29/1948,"Bedford, IN",Male,Purdue University,,,3,477,0.0,0.0,"STS-41-D (Discovery), STS-51-D (Discovery), STS-61-B (Atlantis)",,,USA
David M. Walker,1978.0,Deceased,5/20/1944,"Columbus, GA",Male,US Naval Academy,Captain,US Navy (Retired),4,724,0.0,0.0,"STS-51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",4/23/2001,,USA
Shannon Walker,2004.0,Active,6/4/1965,"Houston, TX",Female,Rice University,,,1,3919,0.0,0.0,Soyuz TMA-19,,,USA
Carl E. Walz,1990.0,Retired,9/6/1955,"Cleveland, OH",Male,Kent State University; John Carroll University,Colonel,US Air Force,4,5533,3.0,19.0,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,,USA
Taylor G. Wang,,Retired,6/16/1940,"Jiangxi, China",Male,University of California at Los Angeles,,,1,168,0.0,0.0,STS-51-B (Challenger),,,USA
Mary E. Weber,1992.0,Retired,8/24/1962,"Cleveland, OH",Female,Purdue University; University of California-Berkeley,,,2,450,0.0,0.0,"STS-70 (Discovery), STS-101 (Atlantis)",,,USA
Paul J. Weitz,1966.0,Retired,6/25/1932,"Erie, PA",Male,Pennsylvania State University; US Naval Postgraduate School,Captain,US Navy (Retired),2,793,1.0,2.0,"Skylab 2, STS-6 (Challenger)",,,USA
James D. Wetherbee,1984.0,Retired,11/27/1952,"Flushing, NY",Male,University of Notre Dame,Captain,US Navy (Retired),6,1594,0.0,0.0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,,USA
Douglas H. Wheelock,1998.0,Active,5/5/1960,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Technology,Colonel,US Army,2,4281,6.0,43.0,"STS-120 (Discovery), Soyuz TMA-19",,,USA
Edward H. White II ,1962.0,Deceased,11/14/1930,"San Antonio, TX",Male,US Military Academy; University of Michigan,Lieutenant Colonel,US Air Force,2,97,1.0,0.5,"Gemini 4, Apollo 1",1/27/1967,Apollo 1,USA
Peggy Whitson,1996.0,Active,2/9/1960,"Mt. Ayr, IA",Female,Iowa Wesleyan College; Rice University,,,3,15982,10.0,60.0,"STS-111 (Endeavor), Soyuz TMA-11, Soyuz MS-03",,,USA
Terrence W. Wilcutt,1990.0,Management,10/31/1949,"Russellville, KY",Male,Western Kentucky University,,,4,1008,0.0,0.0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,,USA
Clifton C. Williams,1963.0,Deceased,9/26/1932,"Mobile, AL",Male,Auburn University,Major,US Marine Corps,0,0,0.0,0.0,,10/5/1967,,USA
Donald E. Williams,1978.0,Retired,2/13/1958,"Lafayette, IN",Male,Purdue University,Captain,US Navy (Retired),2,287,0.0,0.0,"STS-51-D (Discovery), STS-34 (Atlantis)",,,USA
Jeffrey Williams,1996.0,Active,1/18/1958,"Superior, WI",Male,US Military Academy; US Naval Postgraduate School; US Naval War College,Colonel,US Army (Retired),4,12818,5.0,32.0,"STS-101 (Atlantis), Soyuz TMA-8, Soyuz TMA-16, Soyuz TMA-20M",,,USA
Sunita L. Williams,1998.0,Active,9/19/1965,"Euclid, OH",Female,US Naval Academy; Florida Institute of Technology,Captain,US Navy,2,7721,7.0,50.0,"STS-116 (Discovery), Soyuz TMA-05M",,,USA
Barry E. Wilmore,2000.0,Active,12/29/1962,"Murfreesboro, TN",Male,Tennessee Technological University; University of Tennessee,Captain,US Navy,2,4272,4.0,25.0,"STS-129 (Atlantis), Soyuz TMA-14M",,,USA
Stephanie D. Wilson,1996.0,Active,9/27/1966,"Boston, MA",Female,Harvard University; University of Texas,,,3,1031,0.0,0.0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,,USA
Gregory R. Wiseman,2009.0,Active,11/11/1975,"Baltimore, MD",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Commander,US Navy,1,3968,2.0,13.0,Soyuz TMA-13M,,,USA
Peter J. K. Wisoff,1990.0,Retired,8/16/1958,"Norfolk, VA",Male,University of Virginia; Stanford University,,,4,1064,3.0,20.0,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,,USA
David A. Wolf,1990.0,Retired,8/23/1956,"Indianapolis, IN",Male,Purdue University; Indiana University,,,3,4044,7.0,41.0,"STS-58 (Columbia). STS-86 (Atlantis), STS-112 (Atlantis), STS-127 (Endeavor)",,,USA
Neil W. Woodward III ,1998.0,Retired,7/26/1962,"Chicago, IL",Male,MIT; University of Texas-Austin; George Washington University,Commander,US Navy,0,0,0.0,0.0,,,,USA
Alfred M. Worden,1966.0,Retired,2/7/1932,"Jackson, MI",Male,US Military Academy; University of Michigan,Colonel,US Air Force (Retired),1,295,1.0,0.5,Apollo 15,,,USA
John W. Young,1962.0,Retired,9/24/1930,"San Francisco, CA",Male,Georgia Institute of Technology,Captain,US Navy (Retired),6,835,3.0,20.0,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,,USA
George D. Zamka,1998.0,Retired,6/29/1962,"Jersey City, NJ",Male,US Naval Academy; Florida Institute of Technology,Colonel,US Marine Corps (Retired),2,692,0.0,0.0,"STS-120 (Discovery), STS-130 (Endeavor)",,,USA
Sergey Avdeyev,1987.0,Retired,1956-01-01 00:00:00,"Chapayevsk, Samara Oblast",Male, Moscow Physics-Engineering Institute,,,3,17942,10.0,42.0,"Soyuz TM-15, Soyuz TM-22, Soyuz TM-28",,,USSR/Russia
Victor Afanasyev,1988.0,Retired,1948-12-31 00:00:00,Bryansk,Male,Ordzhonikidze Aviation Institute/Kachynskoye Military Pilot School ,Colonel,Russian Air Force,4,13338,7.0,38.0,"Soyuz TM-11, Soyuz TM-18, Soyuz TM-29, Soyuz TM-33",,,USSR/Russia
Vladimir Aksyonov,1973.0,Retired,1935-02-01 00:00:00,"Giblitsy, Kasimovsky District, Ryazan Oblast",Male,Institute of Engineering/Air Force Institute/Polytechnical Institute,Lieutenant colonel,Russian Air Force,2,284,,,"Soyuz 22, Soyuz T-2",,,USSR/Russia
Alexander Alexanderov,1978.0,Retired,1943-02-20 00:00:00,"Moscow, Russia",Male,Bauman Moscow State Technical University ,,,2,7434,,,"Soyuz T-9, Soyuz TM-3",,,USSR/Russia
Anatoly Artsebarsky,1985.0,Retired,1956-09-09 00:00:00,"Prosyana, Ukrainian SSR, Soviet Union",Male,Kharkov Higher Military Aviation School of Pilots/The Russian Presidential Academy of National Economy and Public Administration,Сolonel,Russian Air Force,1,3471,6.0,33.0,Soyuz TM-12,,,USSR/Russia
Yury Artyukhin,1963.0,Deceased,1930-06-22 00:00:00,"Pershutino, Moscow Oblast, Russia",Male,Air Force Institute,Colonel,Russian Air Force,1,137,,,Soyuz 14,4/08/ 1998,,USSR/Russia
Oleg Atkov,1983.0,Retired,1949-05-09 00:00:00,"Khvorostyanka, USSR",Male,Russian Academy of Medical Science/Myasnikov Institute of Clinical Cardiology,,,1,5686,,,Soyuz T-10,,,USSR/Russia
Toktar Aubakirov,1991.0,Retired,1946-07-27 00:00:00,"Karaganda, Kazakh SSR, Soviet Union",Male,the Armavir Military Aviation Institute of the Anti-Air Defence Pilots,Major General,Russian Air Force,1,190,,,Soyuz TM-13,,,USSR/Russia
Oleg Artemyev,2003.0,Active,1970-12-28 00:00:00,"Riga,Latvia",Male,Bauman Moscow State Technical University / the Russian Presidential Academy of National Economy and Public Administration,,,1,4061,2.0,12.0,Soyuz ТМА-12М,,,USSR/Russia
Alexander Balandin,1978.0,Retired,1953-07-30 00:00:00,"Fryazino, Moscow Oblast",Male,Bauman Moscow State Technical University,,,1,4297,2.0,10.0,Soyuz TM-9,,,USSR/Russia
Yury Baturin,1997.0,Retired,1949-06-12 00:00:00," Moscow, Soviet Union",Male, Moscow Institute of Physics and Technology/ Moscow state university,,,2,473,,,"Soyuz TM-28, Soyuz TM-32",,,USSR/Russia
Pavel Belyayev,1960.0,Deceased,26/06/ 1925,"Chelishchevo,Northern Dvina ",Male,,Colonel,Russian Air Force,1,1,,,Voskhod 2,1970-01-10 00:00:00,,USSR/Russia
Georgy Beregovoy,1962.0,Deceased,1921-04-05 00:00:00,"Fedorivka, Poltava Oblast, Soviet Union",Male,Air Force Academy,Lieutenant General,Russian Air Force,1,94,,,Soyuz 3,1995-06-30 00:00:00,,USSR/Russia
Anatoly Berezovoy,1970.0,Retired,11/04/ 1942," Enem, Adyghe Autonomous Oblast,",Male,Kachin Higher Military Aviation School of Pilots,Colonel,Russian Air Force,1,5073,1.0,2.0,Soyuz T-5,,,USSR/Russia
Andrey Borisenko,2003.0,Active,1964-04-17 00:00:00,"Leningrad, Russia",Male,Leningrad Military Mechanical Institute ,,,2,8097,,,"Soyuz TMA-21, Soyuz MS-02",,,USSR/Russia
Nikolay Budarin,1989.0,Retired,1953-04-29 00:00:00,"Kirya, Chuvashia",Male, Moscow Aviation Institute,Hero of the Russian Federation,,3,10657,8.0,44.0,"STS-71 (Atlantis), Soyuz TM-27, STS-113 (Endeavour)",,,USSR/Russia
Valery Bykovsky ,1960.0,Retired,1934-08-02 00:00:00,"Pavlovsky Posad, Soviet Union",Male,,Major General,Russian Air Force,3,497,,,"Vostok 5, Soyuz 22, Soyuz 31",,,USSR/Russia
Vladimir Vasyutin,1978.0,Deceased,1952-03-08 00:00:00,"Kharkiv, Ukrainian SSR",Male,,Lieutenant General,Russian Air Force,1,1557,,,Soyuz T-14,2002-07-19 00:00:00,,USSR/Russia
Alexander Victorenko,1978.0,Retired,1947-03-29 00:00:00,"Olginka, Kazakh SSR",Male,,,,4,13294,6.0,19.0,"Soyuz TM-3, Soyuz TM-8, Soyuz TM-14, Soyuz TM-20",,,USSR/Russia
Pavel Vinogradov,1953.0,Retired,1953-08-31 00:00:00,"Magadan, USSR",Male,Moscow Aviation Institute,Test Cosmonaut,Russian Air Force,3,13126,7.0,38.0,"Soyuz TM-26, Soyuz TMA-8, Soyuz TMA-08M",,,USSR/Russia
Igor Volk,1956.0,Retired,1937-04-12 00:00:00,"Zmiiv, Kharkiv Oblast",Male,Kirovohrad Military Aviation School of Pilots,Colonel,Russian Air Force,1,283,,,Soyuz T-12,2017-01-03 00:00:00,,USSR/Russia
Alexander Volkov ,1978.0,Retired,1948-05-27 00:00:00,"Horlivka, Ukrainian SSR",Male,Kharkov Higher Military Aviation School of Pilots,Colonel,Russian Air Force,3,9395,2.0,10.0,"Soyuz T-14, Soyuz TM-7, Soyuz TM-13",,,USSR/Russia
Sergey Volkov,1997.0,Retired,1973-04-01 00:00:00," Chuhuiv, Ukrainian SSR",Male,Tambov Higher Military Aviation School for pilots named after MM Raskova,Colonel,Russian Air Force,3,13150,4.0,23.0,"Soyuz TMA-12, Soyuz TMA-02M, Soyuz TMA-18M",,,USSR/Russia
Vladislav Volkov ,1966.0,Retired,23/11/ 1935,"Moscow, Soviet Union",Male, Moscow Aviation Institute,Second lieutenant,Russian Air Force,2,689,,,"Soyuz 7, Soyuz 11",1971-06-30 00:00:00,Soyuz 11,USSR/Russia
Boris Volynov ,1960.0,Retired,1934-12-18 00:00:00,"Irkutsk, Russian SFSR",Male, Zhukovsky Air Force Engineering Academy,Colonel,Russian Air Force,2,1255,,,"Soyuz 5, Soyuz 21",,,USSR/Russia
Yury Gagarin,1959.0,Deceased,1934-03-09 00:00:00,"Klushino, Russian SFSR",Male,Chkalov Air Force Pilot's School in Orenburg,Colonel,Russian Air Force,1,1,,,Vostok 1,1968-03-27 00:00:00,,USSR/Russia
Yury Gidzenko,1987.0,Retired,1962-03-26 00:00:00,"Elanets, Mykolaiv Oblast, Ukraine",Male, The Higher Military Pilot School/ Moscow State University of Geodesy and Cartography,,,3,7918,2.0,3.0,"Soyuz TM-22, Soyuz TM-31, Soyuz TM-34",,,USSR/Russia
Yury Glazkov,1965.0,Deceased,1939-10-02 00:00:00,"Moscow, USSR",Male,Kharkov Military Engineering High Schoo,Major General,Russian Air Force,1,425,,,Soyuz 24,2008-12-09 00:00:00,,USSR/Russia
Victor Gorbatko ,1960.0,Deceased,1934-12-03 00:00:00,"Ventsy-Zarya, Krasnodarskii Krai",Male, Zhukovsky Air Force Engineering Academy,Major General,Russian Air Force,3,732,,,"Soyuz 7, Soyuz 24, Soyuz 37",2017-05-17 00:00:00,,USSR/Russia
