Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
"James D. Wetherbee, Paul S. Lockhart, Michael E. Lopez-Alegria, John B. Herrington",USA,ISS,"ISS assembly, crew rotation and supply.",N,N,N,14.0,2002-11-23,STS-113 (Endeavour),2002-12-07,STS-113 (Endeavour),2002
"Kenneth D. Bowersox, Donald R. Pettit, Nikolay Budarin",USA,ISS,"ISS assembly, crew rotation and supply.",N,N,N,163.0,2002-11-23,STS-113 (Endeavour),2003-05-04,Soyuz TMA-1,2002
"Rick D. Husband, William C. McCool, David M. Brown, Kalpana Chawla, Michael P. Anderson, Laurel B. Clark, Ilan Ramon",USA,,Microgravity and Earth science research. First Israeli in space (Ramon). Broke up during re-entry with loss of all crew.,Y,N,N,16.0,2003-01-16,STS-107 (Columbia),2003-02-01,STS-107 (Columbia),2003
"Yury Malenchenko, Edward T. Lu",USSR/Russia,ISS,ISS crew rotation.,N,N,N,186.0,2003-04-25,Soyuz TMA-2,2003-10-27,Soyuz TMA-2,2003
Yang Liwei,China,,First human spaceflight of the People's Republic of China.,N,N,N,0.0,2003-10-15,Shenzhou 5,2003-10-15,Shenzhou 5,2003
Pedro Duque,USSR/Russia,ISS,ISS crew rotation.,N,N,N,9.0,2003-10-18,Soyuz TMA-3,2003-10-27,Soyuz TMA-2,2003
"Alexander Kaleri, C. Michael Foale",USSR/Russia,ISS,ISS crew rotation.,N,N,N,195.0,2003-10-18,Soyuz TMA-3,2004-04-29,Soyuz TMA-3,2003
André Kuipers,USSR/Russia,ISS,ISS crew rotation.,N,N,N,10.0,2004-04-19,Soyuz TMA-4,2004-04-29,Soyuz TMA-3,2004
"Gennady Padalka, E. Michael Fincke",USSR/Russia,ISS,ISS crew rotation.,N,N,N,189.0,2004-04-19,Soyuz TMA-4,2004-10-24,Soyuz TMA-4,2004
Michael W. Melvill,USA,,First human spaceflight of commercial spaceship.,N,N,Y,0.0,2004-06-21,"Flight 15P, SpaceShipOne",2004-06-21,"Flight 15P, SpaceShipOne",2004
Michael W. Melvill,USA,,Ansari X Prize flight #1.,N,N,Y,0.0,2004-09-29,"Flight 16P, SpaceShipOne",2004-09-29,"Flight 16P, SpaceShipOne",2004
W. Brian Binnie,USA,,"Ansari X Prize flight #2, winning the prize.",N,N,Y,0.0,2004-10-04,"Flight 17P, SpaceShipOne",2004-10-04,"Flight 17P, SpaceShipOne",2004
"Salizhan Sharipov, Leroy Chiao",USSR/Russia,ISS,ISS crew rotation.,N,N,N,193.0,2004-10-14,Soyuz TMA-5,2005-04-24,Soyuz TMA-4,2004
Yury Shargin,USSR/Russia,ISS,ISS crew rotation.,N,N,N,10.0,2004-10-14,Soyuz TMA-5,2004-10-24,Soyuz TMA-5,2004
Roberto Vittori,USSR/Russia,ISS,ISS crew rotation.,N,N,N,9.0,2005-04-15,Soyuz TMA-6,2005-04-24,Soyuz TMA-5,2005
"Sergey Krikalev, John L. Phillips",USSR/Russia,ISS,ISS crew rotation.,N,N,N,180.0,2005-04-15,Soyuz TMA-6,2005-10-11,Soyuz TMA-6,2005
"Eileen M. Collins, James M. Kelly, Stephen K. Robinson, Andrew S. W. Thomas, Wendy B. Lawrence, Charles J. Camarda, Soichi Noguchi",USA,ISS,"First ""Return to Flight"" Space Shuttle mission after the loss of Columbia. ISS assembly and supply.",N,N,N,14.0,2005-07-26,STS-114 (Discovery),2005-08-09,STS-114 (Discovery),2005
Gregory H. Olsen,USSR/Russia,ISS,ISS crew rotation. Third space tourist (Olsen).,N,N,N,10.0,2005-10-01,Soyuz TMA-7,2005-10-11,Soyuz TMA-6,2005
"Valery Tokarev, William S. McArthur",USSR/Russia,ISS,ISS crew rotation.,N,N,N,190.0,2005-10-01,Soyuz TMA-7,2006-04-08,Soyuz TMA-7,2005
"Fei Junlong, Nie Haisheng",China,,Second human spaceflight of the People's Republic of China.,N,N,N,4.0,2005-10-12,Shenzhou 6,2005-10-16,Shenzhou 6,2005
Marcos Pontes,USSR/Russia,ISS,ISS crew rotation. First Brazilian in space (Pontes).,N,N,N,9.0,2006-03-30,Soyuz TMA-8,2006-04-08,Soyuz TMA-7,2006
"Pavel Vinogradov, Jeffrey Williams",USSR/Russia,ISS,ISS crew rotation.,N,N,N,184.0,2006-03-30,Soyuz TMA-8,2006-09-29,Soyuz TMA-8,2006
Thomas Reiter,USA,ISS,,N,N,N,172.0,2006-07-04,STS-121 (Discovery),2006-12-22,STS-121 (Discovery),2006
"Steven W. Lindsey, Mark Kelly, Michael E. Fossum, Piers J. Sellers, Lisa M. Nowak, Stephanie D. Wilson",USA,ISS,ISS crew rotation and supply. Safety and repair system testing. First long-duration ISS mission by an ESA astronaut (Reiter).,N,N,N,13.0,2006-07-04,STS-121 (Discovery),2006-07-17,STS-116 (Discovery),2006
"Brent W. Jett, Christopher J. Ferguson, Joseph R. Tanner, Daniel C. Burbank, Heidemarie M. Stefanyshyn-Piper, Steven G. MacLean",USA,ISS,Resumption of ISS assembly. First Canadian to operate Canadarm2. Delivery of the second set of solar arrays and batteries.,N,N,N,12.0,2006-09-09,STS-115 (Atlantis),2006-09-21,STS-115 (Atlantis),2006
Anousheh Ansari,USSR/Russia,ISS,ISS crew rotation. First female space tourist (Ansari). First Persian in space (Ansari).,N,N,N,11.0,2006-09-18,Soyuz TMA-9,2006-09-29,Soyuz TMA-8,2006
"Mikhail TYuryn, Michael E. Lopez-Alegria",USSR/Russia,ISS,ISS crew rotation. First female space tourist (Ansari). First Persian in space (Ansari).,N,N,N,216.0,2006-09-18,Soyuz TMA-9,2007-04-21,Soyuz TMA-9,2006
Sunita L. Williams,USA,ISS,"ISS crew rotation and assembly
 First Swede in space (Fuglesang)",N,N,N,195.0,2006-12-10,STS-116 (Discovery),2007-06-22,STS-116 (Discovery),2006
"Mark L. Polansky, William A. Oefelein, Robert L. Curbeam, Joan E. Higginbotham, Nicholas J.M. Patrick, Christer Fuglesang",USA,ISS,"ISS crew rotation and assembly
 First Swede in space (Fuglesang)",N,N,N,12.0,2006-12-10,STS-116 (Discovery),2006-12-22,STS-117 (Atlantis),2006
Charles Simonyi,USSR/Russia,ISS,ISS crew rotation. Space tourist flight.,N,N,N,14.0,2007-04-07,Soyuz TMA-10,2007-04-21,Soyuz TMA-9,2007
"Oleg Kotov, Fyodor Yurchikhin",USSR/Russia,ISS,ISS crew rotation. Space tourist flight.,N,N,N,198.0,2007-04-07,Soyuz TMA-10,2007-10-21,Soyuz TMA-10,2007
Clayton C. Anderson,USA,ISS,ISS crew rotation and assembly,N,N,N,153.0,2007-06-08,STS-117 (Atlantis),2007-11-07,STS-117 (Atlantis),2007
"Frederick W. Sturckow, Lee J. Archambault, Patrick G. Forrester, Steven R. Swanson, John D. Olivas, James F. Reilly",USA,ISS,ISS crew rotation and assembly,N,N,N,14.0,2007-06-08,STS-117 (Atlantis),2007-06-22,STS-120 (Discovery),2007
"Scott J. Kelly, Charles O. Hobaugh, Tracy E. Caldwell Dyson, Richard A. Mastracchio, Barbara R. Morgan, Benjamin A. Drew, Dafydd R. Williams",USA,ISS,ISS assembly,N,N,N,13.0,2007-08-08,STS-118 (Endeavour),2007-08-21,STS-118 (Endeavour),2007
Sheikh Muszaphar Shukor,USSR/Russia,ISS,ISS crew rotation. First Malaysian in space (Shukor). First female ISS commander (Whitson).,N,N,N,11.0,2007-10-10,Soyuz TMA-11,2007-10-21,Soyuz TMA-10,2007
"Yury Malenchenko, Peggy Whitson",USSR/Russia,ISS,ISS crew rotation. First Malaysian in space (Shukor). First female ISS commander (Whitson).,N,N,N,193.0,2007-10-10,Soyuz TMA-11,2008-04-19,Soyuz TMA-11,2007
Daniel M. Tani,USA,ISS,ISS crew rotation and assembly,N,N,N,121.0,2007-10-23,STS-120 (Discovery),2008-02-20,STS-120 (Discovery),2007
"Pamela A. Melroy, George D. Zamka, Scott E. Parazynski, Stephanie D. Wilson, Douglas H. Wheelock, Paolo Nespoli",USA,ISS,ISS crew rotation and assembly,N,N,N,15.0,2007-10-23,STS-120 (Discovery),2007-11-07,STS-122 (Atlantis),2007
"Stephen N. Frick, Alan G. Poindexter, Leland D. Melvin, Rex J. Walheim, Stanley G. Love, Hans Schlegel",USA,ISS,ISS crew rotation and assembly,N,N,N,13.0,2008-02-07,STS-122 (Atlantis),2008-02-20,STS-122 (Atlantis),2008
Léopold Eyharts,USA,ISS,ISS crew rotation and assembly,N,N,N,49.0,2008-02-07,STS-122 (Atlantis),2008-03-27,STS-123 (Endeavour),2008
"Dominic L. Pudwill Gorie, Gregory H. Johnson, Robert L. Behnken, Michael J. Foreman, Richard M. Linnehan, Takao Doi",USA,ISS,ISS crew rotation and assembly,N,N,N,16.0,2008-03-11,STS-123 (Endeavour),2008-03-27,STS-123 (Endeavour),2008
Garrett E. Reisman,USA,ISS,ISS crew rotation and assembly,N,N,N,96.0,2008-03-11,STS-123 (Endeavour),2008-06-14,STS-124 (Discovery),2008
"Sergey Volkov, Oleg Kononenko",USSR/Russia,ISS,"ISS crew rotation. First South Korean in space (Yi)
 First second-generation cosmonaut (Volkov).",N,N,N,200.0,2008-04-08,Soyuz TMA-12,2008-10-24,Soyuz TMA-11,2008
Yi So-yeon,USSR/Russia,ISS,"ISS crew rotation. First South Korean in space (Yi)
 First second-generation cosmonaut (Volkov).",N,N,N,11.0,2008-04-08,Soyuz TMA-12,2008-04-19,Soyuz TMA-12,2008
Gregory E. Chamitoff,USA,ISS,"ISS assembly and crew rotation
 Delivery of Kibo Japanese Experiment Module",N,N,N,184.0,2008-05-31,STS-124 (Discovery),2008-11-30,STS-124 (Discovery),2008
"Mark Kelly, Kenneth T. Ham, Karen L. Nyberg, Ronald J. Garan, Michael E. Fossum, Akihiko Hoshide",USA,ISS,"ISS assembly and crew rotation
 Delivery of Kibo Japanese Experiment Module",N,N,N,14.0,2008-05-31,STS-124 (Discovery),2008-06-14,STS-126 (Endeavour),2008
"Zhai Zhigang, Liu Boming, Jing Haipeng",China,,Third human spaceflight and first spacewalk for China.,N,N,N,3.0,2008-09-25,Shenzhou 7,2008-09-28,Shenzhou 7,2008
"Yury Lonchakov, E. Michael Fincke",USSR/Russia,ISS,ISS crew rotation.,N,N,N,179.0,2008-10-12,Soyuz TMA-13,2009-04-08,Soyuz TMA-12,2008
Richard A. Garriot,USSR/Russia,ISS,ISS crew rotation.,N,N,N,12.0,2008-10-12,Soyuz TMA-13,2008-10-24,Soyuz TMA-13,2008
Sandra H. Magnus,USA,ISS,ISS logistics and crew rotation,N,N,N,135.0,2008-11-15,STS-126 (Endeavour),2009-03-29,STS-126 (Endeavour),2008
"Christopher J. Ferguson, Eric A. Boe, Donald R. Pettit, Stephen G. Bowen, Heidemarie M. Stefanyshyn-Piper, Robert S. Kimbrough",USA,ISS,ISS logistics and crew rotation,N,N,N,15.0,2008-11-15,STS-126 (Endeavour),2008-11-30,STS-119 (Discovery),2008
"Lee J. Archambault, Dominic A. Antonelli, Joseph M. Acaba, Steven R. Swanson, Richard R. Arnold, John L. Phillips",USA,ISS,Delivery of final solar power generation module and crew rotation,N,N,N,14.0,2009-03-15,STS-119 (Discovery),2009-03-29,STS-119 (Discovery),2009
Koichi Wakata,USA,ISS,Delivery of final solar power generation module and crew rotation,N,N,N,139.0,2009-03-15,STS-119 (Discovery),2009-07-31,STS-127 (Endeavour),2009
Charles Simonyi,USSR/Russia,ISS,ISS crew rotation.,N,N,N,13.0,2009-03-26,Soyuz TMA-14,2009-04-08,Soyuz TMA-13,2009
"Gennady Padalka, Michael R. Barratt",USSR/Russia,ISS,ISS crew rotation.,N,N,N,200.0,2009-03-26,Soyuz TMA-14,2009-10-11,Soyuz TMA-14,2009
"Scott D. Altman, Gregory C. Johnson, Michael T. Good, K. Megan McArthur, John M. Grunsfeld, Michael J. Massimino, Andrew J. Feustel",USA,,Hubble Space Telescope Servicing Mission 4,N,N,N,13.0,2009-05-11,STS-125 (Atlantis),2009-05-24,STS-125 (Atlantis),2009
"Roman Romanenko, Frank De Winne, Robert Thirsk",USSR/Russia,ISS,ISS crew rotation.,N,N,N,189.0,2009-05-27,Soyuz TMA-15,2009-12-01,Soyuz TMA-15,2009
"Mark L. Polansky, Douglas G. Hurley, Christopher J. Cassidy, Thomas H. Marshburn, David A. Wolf, Julie Payette",USA,ISS,Delivery of Japanese exposed facility and crew rotation,N,N,N,16.0,2009-07-15,STS-127 (Endeavour),2009-07-31,STS-127 (Endeavour),2009
Timothy L. Kopra,USA,ISS,Delivery of Japanese exposed facility and crew rotation,N,N,N,58.0,2009-07-15,STS-127 (Endeavour),2009-09-11,STS-128 (Discovery),2009
"Frederick W. Sturckow, Kevin A. Ford, Patrick G. Forrester, Jose M. Hernández, John D. Olivas, Christer Fuglesang",USA,ISS,"Delivery of experiments, logistics, and crew rotation",N,N,N,14.0,2009-08-28,STS-128 (Discovery),2009-09-11,STS-128 (Discovery),2009
Nicole P. Stott,USA,ISS,,N,N,N,92.0,2009-08-28,STS-128 (Discovery),2009-11-27,STS-129 (Atlantis),2009
"Maksim Surayev, Jeffrey Williams",USSR/Russia,ISS,,N,N,N,170.0,2009-09-30,Soyuz TMA-16,2010-03-18,Soyuz TMA-14,2009
Guy Laliberté,USSR/Russia,ISS,ISS crew rotation.,N,N,N,11.0,2009-09-30,Soyuz TMA-16,2009-10-11,Soyuz TMA-16,2009
"Charles O. Hobaugh, Barry E. Wilmore, Leland D. Melvin, Randolph J. Bresnik, Michael J. Foreman, Robert L. Satcher",USA,ISS,"ISS assembly
 Delivery of ELC1 and ELC2",N,N,N,11.0,2009-11-16,STS-129 (Atlantis),2009-11-27,STS-129 (Atlantis),2009
"Oleg Kotov, Timothy J. Creamer, Soichi Noguchi",USSR/Russia,ISS,ISS crew rotation.,N,N,N,165.0,2009-12-20,Soyuz TMA-17,2010-06-02,Soyuz TMA-17,2009
"George D. Zamka, Terry W. Virts, Kathryn P. Hire, Stephen K. Robinson, Nicolas J.M. Patrick, Robert L. Behnken",USA,ISS,"ISS assembly
 Delivery of Tranquility and Cupola",N,N,N,14.0,2010-02-08,STS-130 (Endeavour),2010-02-22,STS-130 (Endeavour),2010
"Alexander Skvortsov, Mikhail Korniyenko, Tracy E. Caldwell Dyson",USSR/Russia,ISS,ISS crew rotation.,N,N,N,177.0,2010-04-02,Soyuz TMA-18,2010-09-25,Soyuz TMA-18,2010
"Alan G. Poindexter, James P. Dutton, Richard A. Mastracchio, Clayton C. Anderson, Dorothy M. Metcalf-Lindenburger, Stephanie D. Wilson, Naoko Yamazaki",USA,ISS,"ISS assembly
 Delivery of experiments and logistics",N,N,N,15.0,2010-04-05,STS-131 (Discovery),2010-04-20,STS-131 (Discovery),2010
"Kenneth T. Ham, Dominic A. Antonelli, Garrett E. Reisman, Michael T. Good, Stephen G. Bowen, Piers J. Sellers",USA,ISS,"Delivery of experiments
 Delivery of Rassvet",N,N,N,12.0,2010-05-14,STS-132 (Atlantis),2010-05-26,STS-132 (Atlantis),2010
"Fyodor Yurchikhin, Shannon Walker, Douglas H. Wheelock",USSR/Russia,ISS,ISS crew rotation.,N,N,N,165.0,2010-06-15,Soyuz TMA-19,2010-11-26,Soyuz TMA-19,2010
"Alexander Kaleri, Oleg Skripochka, Scott J. Kelly",USSR/Russia,ISS,ISS crew rotation.,N,N,N,161.0,2010-10-07,Soyuz TMA-01M,2011-03-16,Soyuz TMA-01M,2010
"Dmitri Kondratyev, Catherine G. Coleman, Paolo Nespoli",USSR/Russia,ISS,ISS crew rotation.,N,N,N,161.0,2010-12-15,Soyuz TMA-20,2011-05-24,Soyuz TMA-20,2010
"Steven Lindsey, Eric A. Boe, Nicole P. Stott, Benjamin A. Drew, Michael R. Barratt, Stephen G. Bowen",USA,ISS,ISS assembly and supply. Delivery of PLM. Delivery of Robonaut. Final mission of Discovery.,N,N,N,13.0,2011-02-24,STS-133 (Discovery),2011-03-09,STS-133 (Discovery),2011
"Alexander Samokutyayev, Andrei Borisenko, Ronald J. Garan",USSR/Russia,ISS,ISS crew rotation.,N,N,N,166.0,2011-04-04,Soyuz TMA-21,2011-09-16,Soyuz TMA-21,2011
"Mark Kelly, Gregory H. Johnson, Michael Fincke, Roberto Vittori, Andrew J. Feustel, Gregory E. Chamitoff",USA,ISS,ISS assembly and supply. Delivery of Alpha Magnetic Spectrometer. Delivery of ELC3. Final flight of Endeavour.,N,N,N,16.0,2011-05-16,STS-134 (Endeavour),2011-06-01,STS-134 (Endeavour),2011
"Sergey Volkov, Satoshi Furukawa, Michael E. Fossum",USSR/Russia,ISS,ISS crew rotation.,N,N,N,169.0,2011-06-07,Soyuz TMA-02M,2011-11-22,Soyuz TMA-02M,2011
"Christopher Ferguson, Douglas G. Hurley, Sandra Magnus, Rex J. Walheim",USA,ISS,ISS assembly and supply. Final flight of Atlantis. Final mission of the Space Shuttle.,N,N,N,13.0,2011-07-08,STS-135 (Atlantis),2011-07-21,STS-135 (Atlantis),2011
"Anton Shkaplerov, Anatoli Ivanishin, Dan Burbank",USSR/Russia,ISS,ISS crew rotation.,N,N,N,166.0,2011-11-14,Soyuz TMA-22,2012-04-27,Soyuz TMA-22,2011
"Oleg Kononenko, André Kuipers, Donald R. Pettit",USSR/Russia,ISS,ISS crew rotation.,N,N,N,194.0,2011-12-21,Soyuz TMA-03M,2012-07-01,Soyuz TMA-03M,2011
"Gennady Padalka, Sergey Revin, Joseph M. Acaba",USSR/Russia,ISS,ISS crew rotation.,N,N,N,126.0,2012-05-15,Soyuz TMA-04M,2012-09-17,Soyuz TMA-04M,2012
"Jing Haipeng, Liu Wang, Liu Yang",China,Tiangong 1,Fourth human spaceflight and first manned space station docking for China.,N,N,N,13.0,2012-06-16,Shenzhou 9,2012-06-29,Shenzhou 9,2012
"Yury Malenchenko, Sunita L. Williams, Akihiko Hoshide",USSR/Russia,ISS,ISS crew rotation.,N,N,N,128.0,2012-07-15,Soyuz TMA-05M,2012-11-19,Soyuz TMA-05M,2012
"Oleg Novitskiy, Evgeny Tarelkin, Kevin A. Ford",USSR/Russia,ISS,ISS crew rotation.,N,N,N,145.0,2012-10-23,Soyuz TMA-06M,2013-03-16,Soyuz TMA-06M,2012
"Roman Romanenko, Chris Hadfield, Thomas Marshburn",USSR/Russia,ISS,ISS crew rotation.,N,N,N,147.0,2012-12-19,Soyuz TMA-07M,2013-05-14,Soyuz TMA-07M,2012
"Pavel Vinogradov, Alexander Misurkin, Christopher Cassidy",USSR/Russia,ISS,ISS crew rotation.,N,N,N,168.0,2013-03-28,Soyuz TMA-08M,2013-09-11,Soyuz TMA-08M,2013
"Fyodor Yurchikhin, Karen L. Nyberg, Luca Parmitano",USSR/Russia,ISS,ISS crew rotation.,N,N,N,168.0,2013-05-28,Soyuz TMA-09M,2013-11-11,Soyuz TMA-09M,2013
"Nie Haisheng, Zhang Xiaoguang, Wang Yaping",China,Tiangong 1,Fifth human spaceflight and second manned space station docking for China.,N,N,N,15.0,2013-06-11,Shenzhou 10,2013-06-26,Shenzhou 10,2013
"Oleg Kotov, Sergey Ryazansky, Michael S. Hopkins",USSR/Russia,ISS,ISS crew rotation.,N,N,N,168.0,2013-09-25,Soyuz TMA-10M,2014-03-11,Soyuz TMA-10M,2013
"Mikhail TYuryn, Richard A. Mastracchio, Koichi Wakata",USSR/Russia,ISS,ISS crew rotation.,N,N,N,189.0,2013-11-07,Soyuz TMA-11M,2014-05-14,Soyuz TMA-11M,2013
"Alexander Skvortsov, Oleg Artemyev, Steven Swanson",USSR/Russia,ISS,ISS crew rotation.,N,N,N,171.0,2014-03-25,Soyuz TMA-12M,2014-09-11,Soyuz TMA-12M,2014
"Soyuz TMA-16 (Expedition 21/22), Soyuz TMA-13M (Expedition 40/41)",USSR/Russia,ISS,ISS crew rotation.,N,N,N,167.0,2014-05-28,Soyuz TMA-13M,2014-11-10,Soyuz TMA-13M,2014
"Alexander Samokutyayev, Yelena Serova, Barry E. Wilmore",USSR/Russia,ISS,ISS crew rotation.,N,N,N,169.0,2014-09-25,Soyuz TMA-14M,2015-03-12,Soyuz TMA-14M,2014
"Anton Shkaplerov, Samantha Cristoforetti, Terry W. Virts",USSR/Russia,ISS,ISS crew rotation.,N,N,N,201.0,2014-11-23,Soyuz TMA-15M,2015-06-11,Soyuz TMA-15M,2014
"Mikhail Korniyenko, Scott J. Kelly",USSR/Russia,ISS,ISS crew rotation.,N,N,N,342.0,2015-03-27,Soyuz TMA-16M,2016-03-02,Soyuz TMA-16M,2015
Gennady Padalka,USSR/Russia,ISS,ISS crew rotation.,N,N,N,170.0,2015-03-27,Soyuz TMA-16M,2015-09-12,Soyuz TMA-18M,2015
"Oleg Kononenko, Kimiya Yui, Kjell N. Lindgren",USSR/Russia,ISS,ISS crew rotation.,N,N,N,143.0,2015-07-22,Soyuz TMA-17M,2015-12-11,Soyuz TMA-17M,2015
Sergey Volkov,USSR/Russia,ISS,ISS crew rotation.,N,N,N,183.0,2015-09-02,Soyuz TMA-18M,2016-03-02,Soyuz TMA-18M,2015
"Andreas Mogensen, Aidyn Aimbetov",USSR/Russia,ISS,ISS crew rotation.,N,N,N,10.0,2015-09-02,Soyuz TMA-18M,2015-09-12,Soyuz TMA-16M,2015
"Soyuz TM-19 (Mir EO-16), STS-106, Soyuz TMA-2 (Expedition 7), Soyuz TMA-11 (Expedition 16), Soyuz TMA-05M (Expedition 32/33), Soyuz TMA-19M (Expedition 46/47)",USSR/Russia,ISS,ISS crew rotation.,N,N,N,187.0,2015-12-15,Soyuz TMA-19M,2016-06-18,Soyuz TMA-19M,2015
"Aleksey Ovchinin, Oleg Skripochka, Jeffrey Williams",USSR/Russia,ISS,ISS crew rotation.,N,N,N,174.0,2016-03-18,Soyuz TMA-20M,2016-09-07,Soyuz TMA-20M,2016
"Soyuz TMA-22 (Expedition 29/30), Soyuz MS-01 (Expedition 48/49)",USSR/Russia,ISS,ISS crew rotation.,N,N,N,116.0,2016-07-07,Soyuz MS-01,2016-10-30,Soyuz MS-01,2016
"Jing Haipeng, Chen Dong",China,Tiangong 2,Testbed mission for the Chinese to gain experience from an extended stay on a space laboratory and test its life-support systems.,N,N,N,33.0,2016-10-16,Shenzhou 11,2016-11-18,Shenzhou 11,2016
"Sergey Ryzhikov, Andrey Borisenko, Robert S. Kimbrough",USSR/Russia,ISS,ISS crew rotation.,N,N,N,174.0,2016-10-19,Soyuz MS-02,2017-04-10,Soyuz MS-02,2016
Peggy Whitson,USSR/Russia,ISS,ISS crew rotation.,N,N,N,291.0,2016-11-17,Soyuz MS-03,2017-09-03,Soyuz MS-03,2016
"Oleg Novitskiy, Thomas Pesquet",USSR/Russia,ISS,ISS crew rotation.,N,N,N,198.0,2016-11-17,Soyuz MS-03,2017-06-02,Soyuz MS-04,2016
"Fyodor Yurchikhin, Jack D. Fischer",USSR/Russia,ISS,ISS crew rotation.,N,N,N,137.0,2017-04-20,Soyuz MS-04,2017-09-03,Soyuz MS-04,2017
"Sergey Ryazansky, Paolo Nespoli, Randolph Bresnik",USSR/Russia,ISS,ISS crew rotation.,N,N,N,140.0,2017-07-28,Soyuz MS-05,2017-12-14,Soyuz MS-05,2017
"Alexander Misurkin, Mark T. Vande Hei, Joseph M. Acaba",USSR/Russia,ISS,ISS crew rotation.,N,N,N,,2017-09-12,Soyuz MS-06,,in orbit,2017
"Anton Shkaplerov, Scott D. Tingle, Norishige Kanai",USSR/Russia,ISS,ISS crew rotation.,N,N,N,,2017-12-17,Soyuz MS-07,,in orbit,2017
